month,trend,seasonal,residual
2012-01-01,,0.6173258296422076,
2012-02-01,,0.6004462876131255,
2012-03-01,,1.0290513971509523,
2012-04-01,,1.5054783010056862,
2012-05-01,,1.5530310527784876,
2012-06-01,,1.8498976161931129,
2012-07-01,1290.6666666666665,1.5964060340403476,1.8272902038932597
2012-08-01,1296.7500000000002,1.3171382989147173,0.7400472330772573
2012-09-01,1283.8750000000002,0.6530772602757456,1.146135813638984
2012-10-01,1304.0833333333333,0.47129944015004843,1.0868614728082506
2012-11-01,1375.6666666666665,0.5363110853000372,0.6736377255610466
2012-12-01,1421.7083333333335,0.27053739693552903,1.591159096989556
2013-01-01,1362.2916666666665,0.6173258296422076,0.9548408628217355
2013-02-01,1343.25,0.6004462876131255,1.1704179697360084
2013-03-01,1397.25,1.0290513971509523,0.8603170197866066
2013-04-01,1398.6249999999998,1.5054783010056862,1.098024530570427
2013-05-01,1412.0833333333333,1.5530310527784876,1.111714409075014
2013-06-01,1414.7499999999998,1.8498976161931129,0.6743996160498903
2013-07-01,1430.7083333333333,1.5964060340403476,0.8441362722526542
2013-08-01,1456.75,1.3171382989147173,1.3779867637445697
2013-09-01,1566.75,0.6530772602757456,0.8571075640778646
2013-10-01,1686.2083333333333,0.47129944015004843,0.9877828954432488
2013-11-01,1754.083333333333,0.5363110853000372,0.7472885520844117
2013-12-01,1842.6666666666665,0.27053739693552903,0.9428091121572892
2014-01-01,1976.0416666666665,0.6173258296422076,1.0886481238114694
2014-02-01,2079.375,0.6004462876131255,0.8361679484817087
2014-03-01,2153.5416666666665,1.0290513971509523,1.7043415795709866
2014-04-01,2259.4583333333335,1.5054783010056862,0.7758192530878796
2014-05-01,2332.0833333333335,1.5530310527784876,1.0326363234705256
2014-06-01,2371.8333333333335,1.8498976161931129,0.5900654543469995
2014-07-01,2374.0,1.5964060340403476,1.1359234900550783
2014-08-01,2379.2499999999995,1.3171382989147173,0.8765712114620634
2014-09-01,2335.2083333333335,0.6530772602757456,1.6746756241520018
2014-10-01,2400.7083333333335,0.47129944015004843,1.4583025001333354
2014-11-01,2488.8750000000005,0.5363110853000372,1.1844371233209199
2014-12-01,2590.0416666666665,0.27053739693552903,0.7792172979815285
2015-01-01,2749.8333333333335,0.6173258296422076,0.7681689886368346
2015-02-01,2859.7083333333335,0.6004462876131255,0.6953579460306999
2015-03-01,2904.4166666666665,1.0290513971509523,0.8598785915943029
2015-04-01,2855.458333333333,1.5054783010056862,1.2603427662599769
2015-05-01,2835.166666666666,1.5530310527784876,0.6988255299686303
2015-06-01,2836.5416666666665,1.8498976161931129,1.0824590495146558
2015-07-01,2871.4999999999995,1.5964060340403476,1.101420586177056
2015-08-01,2942.208333333333,1.3171382989147173,1.1973281171324492
2015-09-01,2976.4166666666665,0.6530772602757456,0.8920532980967684
2015-10-01,3089.7916666666665,0.47129944015004843,0.8892904879377244
2015-11-01,3408.0416666666665,0.5363110853000372,0.7927691032230567
2015-12-01,3662.458333333333,0.27053739693552903,0.7175788027304854
2016-01-01,3715.541666666666,0.6173258296422076,0.8623621817589443
2016-02-01,3682.2916666666665,0.6004462876131255,1.0027053772805925
2016-03-01,3659.5,1.0290513971509523,0.6288149810774137
2016-04-01,3666.3749999999995,1.5054783010056862,1.5111470860388578
2016-05-01,3696.0833333333326,1.5530310527784876,1.3574600273379083
2016-06-01,3731.9999999999995,1.8498976161931129,1.0242158902075522
2016-07-01,3773.4166666666665,1.5964060340403476,0.8187379928745191
2016-08-01,3813.5416666666665,1.3171382989147173,0.7881803944573194
2016-09-01,3890.791666666666,0.6530772602757456,0.735147242732463
2016-10-01,3816.2499999999995,0.47129944015004843,0.7372415149804092
2016-11-01,3618.7916666666656,0.5363110853000372,1.0980019071150537
2016-12-01,3685.166666666666,0.27053739693552903,0.8937030968232614
2017-01-01,3809.6249999999995,0.6173258296422076,1.1871859197688392
2017-02-01,4019.833333333333,0.6004462876131255,0.9802402451232577
2017-03-01,4244.791666666666,1.0290513971509523,0.9324401453731026
2017-04-01,4283.083333333332,1.5054783010056862,0.7516955775838725
2017-05-01,4325.541666666667,1.5530310527784876,0.9745894405833714
2017-06-01,4358.833333333333,1.8498976161931129,1.2288867799972583
2017-07-01,4392.541666666666,1.5964060340403476,0.7245860097521278
2017-08-01,4452.958333333333,1.3171382989147173,1.5097622288849468
2017-09-01,4525.083333333333,0.6530772602757456,0.8023066839348654
2017-10-01,4640.25,0.47129944015004843,0.796544140786224
2017-11-01,4786.916666666667,0.5363110853000372,1.0649417891019615
2017-12-01,4862.791666666666,0.27053739693552903,0.8262597044054093
2018-01-01,4987.5,0.6173258296422076,1.1059099330299842
2018-02-01,4981.916666666666,0.6004462876131255,1.0707456429836786
2018-03-01,4889.499999999999,1.0290513971509523,0.9871715778758395
2018-04-01,4948.958333333333,1.5054783010056862,0.901544255911178
2018-05-01,4995.208333333332,1.5530310527784876,1.0566257485995778
2018-06-01,5020.416666666665,1.8498976161931129,1.085358162379201
2018-07-01,5028.166666666667,1.5964060340403476,0.9845526753843311
2018-08-01,5048.166666666667,1.3171382989147173,0.8871832490090421
2018-09-01,5105.208333333334,0.6530772602757456,0.9324867948754392
2018-10-01,5171.0,0.47129944015004843,0.9975013616638899
2018-11-01,5212.291666666666,0.5363110853000372,1.1286359514322384
2018-12-01,5123.624999999998,0.27053739693552903,0.9169399766959079
2019-01-01,5003.874999999999,0.6173258296422076,1.1029383370262713
2019-02-01,5014.583333333333,0.6004462876131255,1.2225223300440302
2019-03-01,5065.208333333333,1.0290513971509523,1.1238671778929477
2019-04-01,5089.333333333332,1.5054783010056862,0.9664728670056707
2019-05-01,5082.916666666667,1.5530310527784876,1.076777064898116
2019-06-01,5089.833333333333,1.8498976161931129,0.8123691201021512
2019-07-01,5127.125,1.5964060340403476,0.9114263099177303
2019-08-01,5139.375,1.3171382989147173,0.9748469621952425
2019-09-01,5098.833333333333,0.6530772602757456,1.088310478077445
2019-10-01,5023.416666666666,0.47129944015004843,1.053839381521315
2019-11-01,4996.958333333333,0.5363110853000372,1.0959265408103436
2019-12-01,5268.583333333332,0.27053739693552903,1.161119282629651
2020-01-01,5507.999999999999,0.6173258296422076,1.152274766223752
2020-02-01,5463.291666666667,0.6004462876131255,1.0559645353932794
2020-03-01,5443.666666666666,1.0290513971509523,0.9107765989712011
2020-04-01,5488.25,1.5054783010056862,0.768659017420168
2020-05-01,5595.000000000001,1.5530310527784876,1.0264455909130963
2020-06-01,5695.791666666667,1.8498976161931129,1.3048762401825824
2020-07-01,5721.291666666667,1.5964060340403476,0.7780146130681885
2020-08-01,5766.375,1.3171382989147173,0.7741819934120537
2020-09-01,5941.541666666667,0.6530772602757456,0.9978646537891129
2020-10-01,6291.083333333334,0.47129944015004843,1.1187243981005461
2020-11-01,6505.791666666666,0.5363110853000372,1.3404494607259112
2020-12-01,6650.166666666666,0.27053739693552903,1.2973017829618545
2021-01-01,6902.5,0.6173258296422076,0.9037590402971157
2021-02-01,7035.583333333333,0.6004462876131255,1.0919661583016858
2021-03-01,7087.041666666666,1.0290513971509523,1.118480481232543
2021-04-01,7105.249999999999,1.5054783010056862,1.0923827994969122
2021-05-01,7112.916666666666,1.5530310527784876,0.7910140185287037
2021-06-01,7105.041666666666,1.8498976161931129,1.3234578405946524
2021-07-01,,1.5964060340403476,
2021-08-01,,1.3171382989147173,
2021-09-01,,0.6530772602757456,
2021-10-01,,0.47129944015004843,
2021-11-01,,0.5363110853000372,
2021-12-01,,0.27053739693552903,
